Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,class
18.52633,11.80733,47.3126,508.2291,28.56,3.604,24.956,23.742,12.38267,23.742,11.46667,1627,406,7,108.8301,1067,35,1067,47,1
21.80783,6.199667,31.33677,495.1973,31.992,12.208,19.784,25.82267,17.168,27.66067,15.65267,2955,349,160,26.47217,952,513,899,535,1
15.6605,7.560334,25.97339,771.937,30.348,1.24,29.108,22.63333,6.302,25.166,6.302,1454,204,39,45.14252,531,140,521,140,1
15.29132,6.761806,26.66502,664.1676,27.9,2.541667,25.35833,21.66944,7.320833,23.58194,7.295833,2081,262,82,33.93373,677,273,633,362,1
11.8345,10.915,28.78428,1029.907,29.732,-8.188,37.92,24.11933,-1.352,24.11933,-1.352,1271,298,28,86.1928,712,91,712,91,1
18.68833,5.856,37.20457,355.9822,25.732,9.992,15.74,22.49667,15.00867,22.49667,13.842,2447,478,21,88.42387,1360,81,1360,128,1
10.11433,10.10267,26.76912,1027.506,27.392,-10.348,37.74,21.60733,-3.206,22.216,-3.206,1215,313,17,99.07076,748,61,721,61,1
17.67367,5.530666,33.64153,391.8856,25.616,9.176,16.44,21.96267,12.51867,22.132,12.51867,2396,341,84,45.9968,915,277,821,277,1
17.67367,5.530666,33.64153,391.8856,25.616,9.176,16.44,21.96267,12.51867,22.132,12.51867,2396,341,84,45.9968,915,277,821,277,1
19.2035,6.151,37.35123,371.6754,26.816,10.348,16.468,23.268,15.44133,23.268,14.23467,2429,463,33,76.47485,1216,124,1216,183,1
11.81217,8.847667,24.52236,1022.058,28.96,-7.12,36.08,23.49067,-1.282667,23.85933,-1.282667,1323,320,24,93.02325,778,78,762,78,1
15.0425,8.864333,27.85074,848.2257,31.448,-0.38,31.828,22.068,4.693333,25.44133,4.693333,2009,286,64,46.89993,762,231,729,231,1
14.15433,7.908,28.22673,717.644,28.236,0.22,28.016,20.80333,5.594,23.09467,5.561333,1727,225,53,43.30061,623,185,617,258,1
16.00347,8.071759,29.1049,705.9918,30.05556,2.322222,27.73333,24.22315,7.615741,24.84444,7.615741,1709,225,58,40.01361,589,196,577,196,1
15.49712,7.408333,25.67537,764.3904,30.05385,1.2,28.85385,22.52821,6.246154,24.94231,6.246154,1416,197,41,42.79493,511,146,484,146,1
13.4725,9.386333,28.26187,884.0734,29.048,-4.164,33.212,23.81667,2.116667,23.81667,2.116667,1132,206,26,66.55124,553,105,553,105,1
13.78817,9.581,29.17479,857.4136,29.416,-3.424,32.84,23.89,2.922667,23.95667,2.922667,1244,228,25,67.19382,610,104,585,104,1
13.76117,10.23033,28.42391,959.7846,31.484,-4.508,35.992,23.89733,1.578667,25.466,1.578667,617,110,7,68.11182,296,26,262,26,1
12.799,10.72067,29.7995,970.3973,30.092,-5.884,35.976,24.43067,0.5666667,24.43067,0.5666667,1259,280,32,78.28378,676,105,676,105,1
12.08017,8.941,24.92195,1011.299,29.092,-6.784,35.876,23.634,-0.8466666,24.012,-0.8466666,1324,330,22,95.18287,788,74,772,74,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
11.86683,9.941,27.70933,980.2014,29.22,-6.656,35.876,23.29733,-0.5046667,23.57333,-0.5046667,1223,270,31,78.74475,659,98,636,98,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
11.96567,9.840667,27.66719,973.8456,29.252,-6.316,35.568,23.36467,-0.3013333,23.60267,-0.3013333,1210,265,31,77.56342,648,99,622,99,1
10.902,9.486667,25.73702,1025.528,28.056,-8.804,36.86,22.536,-2.316667,22.96867,-2.316667,1292,334,18,99.93754,791,62,775,62,1
15.81483,5.831,35.68544,375.4177,23.324,6.984,16.34,19.938,12.008,19.938,10.78267,2514,412,42,67.58134,1170,153,1170,224,1
13.40233,8.864,27.064,898.3665,30.668,-2.084,32.752,24.358,11.32067,24.358,2.484,2018,234,129,22.563,632,390,632,484,1
10.7395,9.759,26.05735,1035.414,28.1,-9.352,37.452,22.44333,-2.626667,22.91867,-2.626667,1290,336,17,100.5246,793,60,776,60,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
22.39933,6.394667,39.79753,347.8204,29.416,13.348,16.068,26.07067,18.72933,26.07067,17.614,3202,771,21,103.9322,1980,70,1980,81,1
10.40983,9.708333,26.14264,1027.41,27.648,-9.488,37.136,22.04733,-2.821333,22.53733,-2.821333,1301,343,17,100.9225,799,60,786,60,1
15.2655,8.585667,28.29818,776.1038,30.32,-0.02,30.34,22.266,5.790667,24.792,5.790667,1591,210,49,44.35131,580,162,553,162,1
15.4765,7.412333,28.25684,687.7539,27.836,1.604,26.232,19.274,8.318,23.36667,6.545333,1627,275,45,60.64832,761,136,573,189,1
15.4765,7.412333,28.25684,687.7539,27.836,1.604,26.232,19.274,8.318,23.36667,6.545333,1627,275,45,60.64832,761,136,573,189,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
19.32033,5.876,32.18668,447.3772,28.096,9.84,18.256,24.38733,14.924,24.38733,13.54533,2409,408,30,70.75385,1181,134,1181,217,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
22.39933,6.394667,39.79753,347.8204,29.416,13.348,16.068,26.07067,18.72933,26.07067,17.614,3202,771,21,103.9322,1980,70,1980,81,1
15.11067,7.723334,27.214,766.398,29.412,1.032,28.38,24.11267,8.03,24.588,5.756,1801,296,47,57.62488,776,166,727,180,1
16.158,7.816667,24.89384,861.5721,31.816,0.416,31.4,24.13667,7.522,26.49267,5.332667,1336,195,40,45.11539,486,146,473,173,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
11.96567,9.840667,27.66719,973.8456,29.252,-6.316,35.568,23.36467,-0.3013333,23.60267,-0.3013333,1210,265,31,77.56342,648,99,622,99,1
11.6155,9.884334,27.3956,986.4034,28.912,-7.168,36.08,23.084,-0.8860001,23.396,-0.8860001,1263,291,29,82.53145,689,95,684,95,1
15.3026,7.394792,26.46905,730.9142,29.34583,1.408333,27.9375,22.10556,6.492361,24.39236,6.492361,1757,222,59,37.90649,590,207,543,207,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
10.486,9.234667,26.11909,977.9761,27.532,-7.824,35.356,21.88133,-1.892,22.15267,-1.892,1281,298,28,83.33064,703,93,696,93,1
15.74226,7.303571,26.63454,718.3094,29.58571,2.164286,27.42143,22.475,7.12381,24.6881,7.12381,1756,220,60,37.30095,588,210,541,210,1
14.6495,8.867,28.47097,791.1501,30.06,-1.084,31.144,21.73467,4.979333,24.33733,4.979333,1516,206,46,48.08314,582,149,558,149,1
13.11633,10.758,26.42205,1125.516,31.904,-8.812,40.716,26.412,-1.396,26.412,-1.396,457,144,4,124.5681,331,17,331,17,1
