Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,class
15.92667,11.55867,36.78293,752.3111,31.332,-0.092,31.424,8.015333,16.49667,24.99667,6.374667,1320,146,81,17.81209,395,260,318,368,1
16.233,11.434,36.52102,750.0999,31.572,0.264,31.308,8.352,16.76467,25.274,6.699333,1335,145,86,15.54269,397,277,320,370,1
16.11733,11.50333,36.6115,752.8154,31.556,0.136,31.42,8.217333,16.64067,25.206,6.572,1328,146,85,16.57138,397,269,318,370,1
16.24133,11.75133,37.14075,751.4434,31.752,0.112,31.64,8.356,16.77133,25.29267,6.698,1370,149,92,15.06153,409,291,322,379,1
15.33883,11.88433,37.44748,751.3607,31.04,-0.696,31.736,7.422667,15.91333,24.43467,5.848667,1419,158,94,16.23745,429,295,328,395,1
15.40683,12.103,38.25705,740.0912,31.052,-0.584,31.636,7.471333,20.706,24.35867,6.043334,1428,159,101,15.34946,438,317,321,399,1
14.61033,12.07067,37.93421,749.745,30.456,-1.364,31.82,6.674666,19.95733,23.66867,5.106667,1513,168,98,16.13493,454,312,348,419,1
16.06567,11.776,37.04543,755.8177,31.644,-0.144,31.788,8.107333,16.61267,25.17,6.464,1398,153,93,15.37278,419,295,325,389,1
15.5145,11.91367,37.64905,747.9168,31.136,-0.508,31.644,7.562666,16.182,24.54,6.028,1424,158,96,16.09519,433,303,324,400,1
15.42517,11.96767,38.02156,739.1506,31.02,-0.456,31.476,7.456,20.74467,24.354,6.074,1420,158,101,15.34118,435,314,320,397,1
15.92667,11.55867,36.78293,752.3111,31.332,-0.092,31.424,8.015333,16.49667,24.99667,6.374667,1320,146,81,17.81209,395,260,318,368,1
16.08183,11.593,36.80317,752.1961,31.576,0.076,31.5,8.188,16.616,25.16267,6.544667,1355,148,88,15.62025,404,280,322,376,1
16.1775,11.665,36.99886,751.8358,31.6,0.072,31.528,8.292667,16.70867,25.25133,6.646,1301,144,80,17.60781,390,258,316,361,1
16.272,11.506,36.37916,760.7886,31.712,0.084,31.628,8.288,16.80467,25.42867,6.6,1308,144,82,17.23572,390,262,316,364,1
15.4755,11.86033,37.32012,754.7337,31.12,-0.66,31.78,7.513333,16.046,24.59133,5.918,1426,157,95,15.86068,430,301,327,399,1
16.31467,11.64467,36.79432,755.1761,31.808,0.16,31.648,8.380667,16.83333,25.40933,6.720667,1351,147,89,15.05598,402,285,321,373,1
16.40283,11.45367,36.44879,752.1735,31.76,0.336,31.424,8.504,16.94267,25.45733,6.832667,1309,143,84,15.82176,391,273,317,360,1
15.379,12.066,37.70154,757.5829,31.288,-0.716,32.004,7.396,15.97267,24.54467,5.786,1414,159,92,17.11038,429,288,328,394,1
15.379,12.066,37.70154,757.5829,31.288,-0.716,32.004,7.396,15.97267,24.54467,5.786,1414,159,92,17.11038,429,288,328,394,1
16.233,11.434,36.52102,750.0999,31.572,0.264,31.308,8.352,16.76467,25.274,6.699333,1335,145,86,15.54269,397,277,320,370,1
16.40283,11.45367,36.44879,752.1735,31.76,0.336,31.424,8.504,16.94267,25.45733,6.832667,1309,143,84,15.82176,391,273,317,360,1
16.444,11.44333,36.66325,745.1652,31.712,0.5,31.212,8.613333,16.994,25.41333,6.965333,1305,142,85,15.39015,390,277,318,357,1
15.8275,13.171,39.78193,760.045,32.32,-0.788,33.108,7.852667,19.80933,25.104,6.295333,1244,132,87,12.8785,369,281,300,338,1
16.444,11.44333,36.66325,745.1652,31.712,0.5,31.212,8.613333,16.994,25.41333,6.965333,1305,142,85,15.39015,390,277,318,357,1
16.444,11.44333,36.66325,745.1652,31.712,0.5,31.212,8.613333,16.994,25.41333,6.965333,1305,142,85,15.39015,390,277,318,357,1
16.07567,11.476,36.76791,745.4756,31.432,0.22,31.212,8.256,16.60733,25.078,6.624667,1343,146,87,15.56281,400,278,320,373,1
16.6605,12.763,39.29011,749.0947,32.776,0.292,32.484,8.815333,17.15267,25.73733,7.196667,1262,140,83,15.92839,379,258,312,343,1
16.36233,11.49333,36.55175,752.9652,31.716,0.272,31.444,8.464666,16.90067,25.42867,6.79,1299,142,82,16.61924,388,264,315,361,1
16.11167,11.75867,36.92585,759.1539,31.728,-0.116,31.844,8.121333,16.65133,25.25467,6.470667,1388,152,92,15.49481,416,292,323,387,1
16.11733,11.50333,36.6115,752.8154,31.556,0.136,31.42,8.217333,16.64067,25.206,6.572,1328,146,85,16.57138,397,269,318,370,1
16.36233,11.49333,36.55175,752.9652,31.716,0.272,31.444,8.464666,16.90067,25.42867,6.79,1299,142,82,16.61924,388,264,315,361,1
15.17433,12.05,37.7459,752.9662,31.008,-0.916,31.924,7.234667,15.75267,24.29267,5.653333,1445,163,95,16.76703,439,298,333,402,1
16.33967,12.85067,39.71158,742.0944,32.424,0.064,32.36,8.567333,16.89,25.354,6.989333,1241,137,78,17.05608,375,247,312,340,1
16.23883,12.76633,39.42173,746.261,32.364,-0.02,32.384,8.420667,16.754,25.31133,6.844,1280,141,86,15.22217,383,266,315,347,1
15.47717,12.06367,38.18583,739.6295,31.096,-0.496,31.592,7.539333,20.77133,24.418,6.112667,1425,158,102,15.04027,436,318,321,398,1
16.47767,11.54067,36.64634,753.1691,31.872,0.38,31.492,8.567333,17.006,25.54667,6.899333,1312,143,85,15.54698,392,275,317,361,1
16.46417,12.959,39.96238,741.2441,32.596,0.168,32.428,8.720667,16.98133,25.47933,7.134,1226,136,77,17.36817,372,242,308,337,1
16.20833,11.67667,37.04526,749.1431,31.696,0.176,31.52,8.348,16.736,25.24467,6.705333,1355,147,90,15.04921,404,286,320,376,1
15.2835,12.943,40.05137,734.0434,31.404,-0.912,32.316,7.517334,15.88133,24.21,6.029334,1515,157,111,11.33438,437,343,366,408,1
16.55833,12.77267,39.30051,749.5781,32.704,0.204,32.5,8.707334,17.04733,25.65133,7.100667,1270,140,85,15.46244,380,262,314,344,1
16.40283,11.45367,36.44879,752.1735,31.76,0.336,31.424,8.504,16.94267,25.45733,6.832667,1309,143,84,15.82176,391,273,317,360,1
15.334,12.11,38.32278,738.3796,30.956,-0.644,31.6,7.462,20.594,24.26533,5.989334,1437,159,104,14.82347,438,320,326,399,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.07567,11.476,36.76791,745.4756,31.432,0.22,31.212,8.256,16.60733,25.078,6.624667,1343,146,87,15.56281,400,278,320,373,1
16.3955,11.541,36.55454,755.2993,31.828,0.256,31.572,8.458667,16.92533,25.48867,6.789333,1328,145,87,15.43237,396,278,319,366,1
16.378,12.73533,39.399,744.3234,32.456,0.132,32.324,8.578,16.88333,25.41333,6.990666,1276,141,85,15.45437,383,264,313,347,1
15.334,12.11,38.32278,738.3796,30.956,-0.644,31.6,7.462,20.594,24.26533,5.989334,1437,159,104,14.82347,438,320,326,399,1
16.46933,12.892,39.79995,743.7426,32.556,0.164,32.392,8.672,17.01467,25.49867,7.104667,1244,138,79,16.88745,376,248,311,340,1
16.28933,12.844,39.66646,744.5223,32.352,-0.028,32.38,8.481333,16.83733,25.32667,6.907333,1249,138,80,16.71308,377,251,314,341,1
15.1025,12.79033,39.77094,731.9222,31.084,-1.076,32.16,7.35,15.69867,23.99133,5.862,1544,160,113,11.22093,445,350,372,416,1
15.62183,12.29367,38.44173,752.6741,31.548,-0.432,31.98,7.632,16.338,24.69133,6.084667,1341,151,81,17.43799,401,269,315,367,1
15.62183,12.29367,38.44173,752.6741,31.548,-0.432,31.98,7.632,16.338,24.69133,6.084667,1341,151,81,17.43799,401,269,315,367,1
15.66967,12.264,38.30106,755.252,31.484,-0.536,32.02,7.739334,16.22733,24.78933,6.112667,1344,149,83,17.58612,402,264,321,372,1
15.66967,12.264,38.30106,755.252,31.484,-0.536,32.02,7.739334,16.22733,24.78933,6.112667,1344,149,83,17.58612,402,264,321,372,1
16.137,11.512,36.7373,749.3207,31.552,0.216,31.336,8.278,16.66267,25.18667,6.640666,1330,145,86,15.84887,396,273,318,369,1
16.2505,11.803,37.18183,753.1351,31.792,0.048,31.744,8.336,21.48333,25.31133,6.682,1378,151,93,15.16368,413,294,322,381,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.5295,11.517,36.59909,752.4978,31.9,0.432,31.468,8.634,17.06533,25.58,6.952667,1293,142,83,16.02374,388,270,314,356,1
16.3625,11.46233,36.4996,751.6036,31.732,0.328,31.404,8.473333,16.89,25.424,6.811333,1319,144,85,15.8014,394,274,317,365,1
15.66917,12.07167,37.79956,753.2122,31.38,-0.556,31.936,7.742,20.93933,24.74933,6.110667,1389,154,97,15.39646,422,300,319,387,1
15.45283,11.909,37.86886,740.6538,31.052,-0.396,31.448,7.498667,20.77933,24.402,6.084,1406,156,99,15.15917,428,308,320,391,1
16.49933,12.79667,39.44719,746.7831,32.612,0.172,32.44,8.686666,17.004,25.56867,7.076,1249,138,81,16.20793,375,253,312,339,1
14.628,12.76533,39.68333,739.8704,30.58,-1.588,32.168,6.826,19.876,23.60667,5.321333,1562,165,115,11.96128,456,353,368,424,1
15.8455,12.24633,38.25544,750.2426,31.62,-0.392,32.012,7.954,21.086,24.89867,6.324,1362,151,96,15.23897,414,294,316,377,1
